Source Port,Target Port,Distance
Shanghai,Port1,56.667463
Shanghai,Changshu,66.0
Shanghai,Nantong,95.0
Shanghai,Zhangjiagang,117.0
Shanghai,Port2,142.10524900000001
Shanghai,Jiangyin,153.0
Shanghai,Gaogang,215.0
Shanghai,Port3,220.179754
Shanghai,Zhenjiang,270.0
Shanghai,Port4,348.04978800000004
Shanghai,Nanjing,350.00000000000006
Shanghai,Ma'anshan,396.00000000000006
Shanghai,Wuhu,439.00000000000006
Port1,Changshu,9.332537
Port1,Nantong,38.332537
Port1,Zhangjiagang,60.332537
Port1,Port2,85.437786
Port1,Jiangyin,96.332537
Port1,Gaogang,158.332537
Port1,Port3,163.512291
Port1,Zhenjiang,213.332537
Port1,Port4,291.38232500000004
Port1,Nanjing,293.33253700000006
Port1,Ma'anshan,339.33253700000006
Port1,Wuhu,382.33253700000006
Changshu,Nantong,29.0
Changshu,Zhangjiagang,51.0
Changshu,Port2,76.105249
Changshu,Jiangyin,87.0
Changshu,Gaogang,149.0
Changshu,Port3,154.179754
Changshu,Zhenjiang,204.0
Changshu,Port4,282.04978800000004
Changshu,Nanjing,284.00000000000006
Changshu,Ma'anshan,330.00000000000006
Changshu,Wuhu,373.00000000000006
Nantong,Zhangjiagang,22.0
Nantong,Port2,47.105249
Nantong,Jiangyin,58.0
Nantong,Gaogang,120.0
Nantong,Port3,125.179754
Nantong,Zhenjiang,175.0
Nantong,Port4,253.049788
Nantong,Nanjing,255.0
Nantong,Ma'anshan,301.0
Nantong,Wuhu,344.0
Zhangjiagang,Port2,25.105249
Zhangjiagang,Jiangyin,36.0
Zhangjiagang,Gaogang,98.0
Zhangjiagang,Port3,103.179754
Zhangjiagang,Zhenjiang,153.0
Zhangjiagang,Port4,231.049788
Zhangjiagang,Nanjing,233.0
Zhangjiagang,Ma'anshan,279.0
Zhangjiagang,Wuhu,322.0
Port2,Jiangyin,10.894751
Port2,Gaogang,72.894751
Port2,Port3,78.074505
Port2,Zhenjiang,127.894751
Port2,Port4,205.94453900000002
Port2,Nanjing,207.894751
Port2,Ma'anshan,253.894751
Port2,Wuhu,296.89475100000004
Jiangyin,Gaogang,62.0
Jiangyin,Port3,67.179754
Jiangyin,Zhenjiang,117.0
Jiangyin,Port4,195.049788
Jiangyin,Nanjing,197.0
Jiangyin,Ma'anshan,243.0
Jiangyin,Wuhu,286.0
Gaogang,Port3,5.179754
Gaogang,Zhenjiang,55.0
Gaogang,Port4,133.049788
Gaogang,Nanjing,135.0
Gaogang,Ma'anshan,181.0
Gaogang,Wuhu,224.0
Port3,Zhenjiang,49.820246
Port3,Port4,127.870034
Port3,Nanjing,129.820246
Port3,Ma'anshan,175.820246
Port3,Wuhu,218.820246
Zhenjiang,Port4,78.049788
Zhenjiang,Nanjing,80.0
Zhenjiang,Ma'anshan,126.0
Zhenjiang,Wuhu,169.0
Port4,Nanjing,1.950212
Port4,Ma'anshan,47.950212
Port4,Wuhu,90.950212
Nanjing,Ma'anshan,46.0
Nanjing,Wuhu,89.0
Ma'anshan,Wuhu,43.0
