Source Port,Target Port,Traveltime
Shanghai,Port1,2.4198082851637768
Port1,Shanghai,5.436712121212121
Shanghai,Port2,2.499048362235068
Port2,Shanghai,5.614745021645022
Shanghai,Port3,3.101689547206166
Port3,Shanghai,6.968731060606061
Shanghai,Changshu,3.1791907514450872
Changshu,Shanghai,7.142857142857142
Shanghai,Port4,3.3581548651252415
Port4,Shanghai,7.544945346320346
Shanghai,Nantong,4.576107899807322
Nantong,Shanghai,10.281385281385282
Shanghai,Zhangjiagang,5.635838150289018
Zhangjiagang,Shanghai,12.662337662337663
Shanghai,Port5,6.278840510597304
Port5,Shanghai,14.107005303030302
Shanghai,Port6,6.416854238921003
Port6,Shanghai,14.417088095238094
Shanghai,Jiangyin,7.369942196531793
Jiangyin,Shanghai,16.558441558441558
Shanghai,Gaogang,10.356454720616572
Gaogang,Shanghai,23.26839826839827
Shanghai,Port7,12.811756936416186
Port7,Shanghai,28.78485649350649
Shanghai,Zhenjiang,13.00578034682081
Zhenjiang,Shanghai,29.22077922077922
Shanghai,Port8,15.486956165703276
Port8,Shanghai,34.79536904761904
Shanghai,Port9,16.176345327552987
Port9,Shanghai,36.344256385281376
Shanghai,Nanjing,16.859344894026975
Nanjing,Shanghai,37.878787878787875
Shanghai,Port10,17.84186189788054
Port10,Shanghai,40.08626114718615
Shanghai,Ma'anshan,19.075144508670522
Ma'anshan,Shanghai,42.85714285714286
Shanghai,Wuhu,21.14643545279384
Wuhu,Shanghai,47.51082251082252
Port1,Port2,0.07924007707129095
Port2,Port1,0.17803290043290043
Port1,Port3,0.6818812620423893
Port3,Port1,1.5320189393939394
Port1,Changshu,0.7593824662813103
Changshu,Port1,1.7061450216450216
Port1,Port4,0.9383465799614645
Port4,Port1,2.1082332251082248
Port1,Nantong,2.1562996146435456
Nantong,Port1,4.84467316017316
Port1,Zhangjiagang,3.2160298651252415
Zhangjiagang,Port1,7.225625541125542
Port1,Port5,3.859032225433527
Port5,Port1,8.670293181818181
Port1,Port6,3.9970459537572265
Port6,Port1,8.980375974025973
Port1,Jiangyin,4.950133911368017
Jiangyin,Port1,11.121729437229435
Port1,Gaogang,7.936646435452795
Gaogang,Port1,17.831686147186147
Port1,Port7,10.39194865125241
Port7,Port1,23.348144372294367
Port1,Zhenjiang,10.585972061657033
Zhenjiang,Port1,23.7840670995671
Port1,Port8,13.0671478805395
Port8,Port1,29.35865692640692
Port1,Port9,13.75653704238921
Port9,Port1,30.907544264069255
Port1,Nanjing,14.439536608863198
Nanjing,Port1,32.44207575757576
Port1,Port10,15.422053612716763
Port10,Port1,34.649549025974025
Port1,Ma'anshan,16.655336223506744
Ma'anshan,Port1,37.42043073593074
Port1,Wuhu,18.726627167630056
Wuhu,Port1,42.0741103896104
Port2,Port3,0.6026411849710983
Port3,Port2,1.353986038961039
Port2,Changshu,0.6801423892100193
Changshu,Port2,1.5281121212121211
Port2,Port4,0.8591065028901735
Port4,Port2,1.9302003246753245
Port2,Nantong,2.0770595375722545
Nantong,Port2,4.66664025974026
