Source Port,Target Port,Distance
Shanghai,Port1,46.02629
Shanghai,Changshu,66.0
Shanghai,Nantong,95.0
Shanghai,Zhangjiagang,117.0
Shanghai,Port2,120.390385
Shanghai,Port3,152.122405
Shanghai,Jiangyin,153.0
Shanghai,Gaogang,215.0
Shanghai,Port4,256.862684
Shanghai,Zhenjiang,270.0
Shanghai,Port5,332.88514399999997
Shanghai,Nanjing,349.99999999999994
Shanghai,Port6,355.89322699999997
Shanghai,Ma'anshan,395.99999999999994
Shanghai,Wuhu,438.99999999999994
Port1,Changshu,19.97371
Port1,Nantong,48.97371
Port1,Zhangjiagang,70.97371
Port1,Port2,74.36409499999999
Port1,Port3,106.096115
Port1,Jiangyin,106.97371
Port1,Gaogang,168.97370999999998
Port1,Port4,210.83639399999998
Port1,Zhenjiang,223.97370999999998
Port1,Port5,286.85885399999995
Port1,Nanjing,303.9737099999999
Port1,Port6,309.86693699999995
Port1,Ma'anshan,349.9737099999999
Port1,Wuhu,392.9737099999999
Changshu,Nantong,29.0
Changshu,Zhangjiagang,51.0
Changshu,Port2,54.390385
Changshu,Port3,86.122405
Changshu,Jiangyin,87.0
Changshu,Gaogang,149.0
Changshu,Port4,190.862684
Changshu,Zhenjiang,204.0
Changshu,Port5,266.88514399999997
Changshu,Nanjing,283.99999999999994
Changshu,Port6,289.89322699999997
Changshu,Ma'anshan,329.99999999999994
Changshu,Wuhu,372.99999999999994
Nantong,Zhangjiagang,22.0
Nantong,Port2,25.390385000000002
Nantong,Port3,57.122405
Nantong,Jiangyin,58.0
Nantong,Gaogang,120.0
Nantong,Port4,161.862684
Nantong,Zhenjiang,175.0
Nantong,Port5,237.885144
Nantong,Nanjing,255.0
Nantong,Port6,260.893227
Nantong,Ma'anshan,301.0
Nantong,Wuhu,344.0
Zhangjiagang,Port2,3.390385
Zhangjiagang,Port3,35.122405
Zhangjiagang,Jiangyin,36.0
Zhangjiagang,Gaogang,98.0
Zhangjiagang,Port4,139.862684
Zhangjiagang,Zhenjiang,153.0
Zhangjiagang,Port5,215.885144
Zhangjiagang,Nanjing,233.0
Zhangjiagang,Port6,238.893227
Zhangjiagang,Ma'anshan,279.0
Zhangjiagang,Wuhu,322.0
Port2,Port3,31.73202
Port2,Jiangyin,32.609615
Port2,Gaogang,94.60961499999999
Port2,Port4,136.472299
Port2,Zhenjiang,149.609615
Port2,Port5,212.494759
Port2,Nanjing,229.609615
Port2,Port6,235.502842
Port2,Ma'anshan,275.60961499999996
Port2,Wuhu,318.60961499999996
Port3,Jiangyin,0.877595
Port3,Gaogang,62.877595
Port3,Port4,104.740279
Port3,Zhenjiang,117.877595
Port3,Port5,180.762739
Port3,Nanjing,197.877595
Port3,Port6,203.770822
Port3,Ma'anshan,243.877595
Port3,Wuhu,286.87759500000004
Jiangyin,Gaogang,62.0
Jiangyin,Port4,103.862684
Jiangyin,Zhenjiang,117.0
Jiangyin,Port5,179.885144
Jiangyin,Nanjing,197.0
Jiangyin,Port6,202.893227
Jiangyin,Ma'anshan,243.0
Jiangyin,Wuhu,286.0
Gaogang,Port4,41.862684
Gaogang,Zhenjiang,55.0
Gaogang,Port5,117.885144
Gaogang,Nanjing,135.0
Gaogang,Port6,140.893227
Gaogang,Ma'anshan,181.0
Gaogang,Wuhu,224.0
Port4,Zhenjiang,13.137316
Port4,Port5,76.02246
Port4,Nanjing,93.137316
Port4,Port6,99.030543
Port4,Ma'anshan,139.137316
Port4,Wuhu,182.137316
Zhenjiang,Port5,62.885144
Zhenjiang,Nanjing,80.0
Zhenjiang,Port6,85.893227
Zhenjiang,Ma'anshan,126.0
Zhenjiang,Wuhu,169.0
Port5,Nanjing,17.114856
Port5,Port6,23.008083
Port5,Ma'anshan,63.114855999999996
Port5,Wuhu,106.114856
Nanjing,Port6,5.893227
Nanjing,Ma'anshan,46.0
Nanjing,Wuhu,89.0
Port6,Ma'anshan,40.106773
Port6,Wuhu,83.106773
Ma'anshan,Wuhu,43.0
