Source Port,Target Port,Distance
Shanghai,Changshu,66.0
Shanghai,Port1,90.89934
Shanghai,Nantong,95.0
Shanghai,Zhangjiagang,117.0
Shanghai,Jiangyin,153.0
Shanghai,Gaogang,215.0
Shanghai,Zhenjiang,270.0
Shanghai,Nanjing,350.0
Shanghai,Ma'anshan,396.0
Shanghai,Wuhu,439.0
Shanghai,Hefei,573.0
Shanghai,Port2,504.552595
Shanghai,Tongling,533.0
Shanghai,Chizhou,573.0
Shanghai,Anqing,631.0
Shanghai,Jiujiang,784.0
Shanghai,Nanchang,948.0
Shanghai,Huangshi,900.0
Shanghai,Port3,903.013675
Shanghai,Huanggang,932.0
Shanghai,Wuhan,1029.0
Shanghai,Jiayu,1156.0
Shanghai,Port4,1199.903006
Shanghai,Honghu,1201.0
Shanghai,Chenglingji,1257.0
Shanghai,Changsha,1488.0
Shanghai,Jingzhou,1653.0
Shanghai,Yichang,1820.0
Shanghai,Chongqing,2480.0
Changshu,Port1,24.89934
Changshu,Nantong,29.0
Changshu,Zhangjiagang,51.0
Changshu,Jiangyin,87.0
Changshu,Gaogang,149.0
Changshu,Zhenjiang,204.0
Changshu,Nanjing,284.0
Changshu,Ma'anshan,330.0
Changshu,Wuhu,373.0
Changshu,Hefei,507.0
Changshu,Port2,438.552595
Changshu,Tongling,467.0
Changshu,Chizhou,507.0
Changshu,Anqing,565.0
Changshu,Jiujiang,718.0
Changshu,Nanchang,882.0
Changshu,Huangshi,834.0
Changshu,Port3,837.013675
Changshu,Huanggang,866.0
Changshu,Wuhan,963.0
Changshu,Jiayu,1090.0
Changshu,Port4,1133.903006
Changshu,Honghu,1135.0
Changshu,Chenglingji,1191.0
Changshu,Changsha,1422.0
Changshu,Jingzhou,1587.0
Changshu,Yichang,1754.0
Changshu,Chongqing,2414.0
Port1,Nantong,4.10066
Port1,Zhangjiagang,26.10066
Port1,Jiangyin,62.100660000000005
Port1,Gaogang,124.10066
Port1,Zhenjiang,179.10066
Port1,Nanjing,259.10066
Port1,Ma'anshan,305.10066
Port1,Wuhu,348.10066
Port1,Hefei,482.10066
Port1,Port2,413.653255
Port1,Tongling,442.10066
Port1,Chizhou,482.10066
Port1,Anqing,540.1006600000001
Port1,Jiujiang,693.1006600000001
Port1,Nanchang,857.1006600000001
Port1,Huangshi,809.1006600000001
Port1,Port3,812.1143350000001
Port1,Huanggang,841.1006600000001
Port1,Wuhan,938.1006600000001
Port1,Jiayu,1065.10066
Port1,Port4,1109.003666
Port1,Honghu,1110.10066
Port1,Chenglingji,1166.10066
Port1,Changsha,1397.10066
Port1,Jingzhou,1562.10066
Port1,Yichang,1729.10066
Port1,Chongqing,2389.10066
Nantong,Zhangjiagang,22.0
Nantong,Jiangyin,58.0
Nantong,Gaogang,120.0
Nantong,Zhenjiang,175.0
Nantong,Nanjing,255.0
Nantong,Ma'anshan,301.0
Nantong,Wuhu,344.0
Nantong,Hefei,478.0
Nantong,Port2,409.552595
Nantong,Tongling,438.0
Nantong,Chizhou,478.0
Nantong,Anqing,536.0
Nantong,Jiujiang,689.0
Nantong,Nanchang,853.0
Nantong,Huangshi,805.0
Nantong,Port3,808.013675
Nantong,Huanggang,837.0
Nantong,Wuhan,934.0
Nantong,Jiayu,1061.0
Nantong,Port4,1104.903006
Nantong,Honghu,1106.0
Nantong,Chenglingji,1162.0
Nantong,Changsha,1393.0
Nantong,Jingzhou,1558.0
Nantong,Yichang,1725.0
Nantong,Chongqing,2385.0
Zhangjiagang,Jiangyin,36.0
Zhangjiagang,Gaogang,98.0
Zhangjiagang,Zhenjiang,153.0
Zhangjiagang,Nanjing,233.0
Zhangjiagang,Ma'anshan,279.0
Zhangjiagang,Wuhu,322.0
Zhangjiagang,Hefei,456.0
Zhangjiagang,Port2,387.552595
Zhangjiagang,Tongling,416.0
Zhangjiagang,Chizhou,456.0
Zhangjiagang,Anqing,514.0
Zhangjiagang,Jiujiang,667.0
Zhangjiagang,Nanchang,831.0
Zhangjiagang,Huangshi,783.0
Zhangjiagang,Port3,786.013675
Zhangjiagang,Huanggang,815.0
Zhangjiagang,Wuhan,912.0
Zhangjiagang,Jiayu,1039.0
Zhangjiagang,Port4,1082.903006
Zhangjiagang,Honghu,1084.0
Zhangjiagang,Chenglingji,1140.0
Zhangjiagang,Changsha,1371.0
Zhangjiagang,Jingzhou,1536.0
Zhangjiagang,Yichang,1703.0
Zhangjiagang,Chongqing,2363.0
Jiangyin,Gaogang,62.0
Jiangyin,Zhenjiang,117.0
Jiangyin,Nanjing,197.0
Jiangyin,Ma'anshan,243.0
Jiangyin,Wuhu,286.0
Jiangyin,Hefei,420.0
Jiangyin,Port2,351.552595
Jiangyin,Tongling,380.0
Jiangyin,Chizhou,420.0
Jiangyin,Anqing,478.0
Jiangyin,Jiujiang,631.0
Jiangyin,Nanchang,795.0
Jiangyin,Huangshi,747.0
Jiangyin,Port3,750.013675
Jiangyin,Huanggang,779.0
Jiangyin,Wuhan,876.0
Jiangyin,Jiayu,1003.0
Jiangyin,Port4,1046.903006
Jiangyin,Honghu,1048.0
Jiangyin,Chenglingji,1104.0
Jiangyin,Changsha,1335.0
Jiangyin,Jingzhou,1500.0
Jiangyin,Yichang,1667.0
Jiangyin,Chongqing,2327.0
Gaogang,Zhenjiang,55.0
Gaogang,Nanjing,135.0
Gaogang,Ma'anshan,181.0
Gaogang,Wuhu,224.0
Gaogang,Hefei,358.0
Gaogang,Port2,289.552595
Gaogang,Tongling,318.0
Gaogang,Chizhou,358.0
Gaogang,Anqing,416.0
Gaogang,Jiujiang,569.0
Gaogang,Nanchang,733.0
Gaogang,Huangshi,685.0
Gaogang,Port3,688.013675
Gaogang,Huanggang,717.0
Gaogang,Wuhan,814.0
Gaogang,Jiayu,941.0
Gaogang,Port4,984.903006
Gaogang,Honghu,986.0
Gaogang,Chenglingji,1042.0
Gaogang,Changsha,1273.0
Gaogang,Jingzhou,1438.0
Gaogang,Yichang,1605.0
Gaogang,Chongqing,2265.0
Zhenjiang,Nanjing,80.0
Zhenjiang,Ma'anshan,126.0
Zhenjiang,Wuhu,169.0
Zhenjiang,Hefei,303.0
Zhenjiang,Port2,234.552595
Zhenjiang,Tongling,263.0
Zhenjiang,Chizhou,303.0
Zhenjiang,Anqing,361.0
Zhenjiang,Jiujiang,514.0
Zhenjiang,Nanchang,678.0
Zhenjiang,Huangshi,630.0
Zhenjiang,Port3,633.013675
Zhenjiang,Huanggang,662.0
Zhenjiang,Wuhan,759.0
Zhenjiang,Jiayu,886.0
Zhenjiang,Port4,929.903006
Zhenjiang,Honghu,931.0
Zhenjiang,Chenglingji,987.0
Zhenjiang,Changsha,1218.0
Zhenjiang,Jingzhou,1383.0
Zhenjiang,Yichang,1550.0
Zhenjiang,Chongqing,2210.0
Nanjing,Ma'anshan,46.0
Nanjing,Wuhu,89.0
Nanjing,Hefei,223.0
Nanjing,Port2,154.552595
Nanjing,Tongling,183.0
Nanjing,Chizhou,223.0
